# Adoption Data for the Solar PV Rooftop solution
"Year", "World"
2012, 38.819600000000
2013, 54.043600000000
2014, 75.458024197574
2015, 150.000000000000
2016, 175.000000000000
2017, 250.000000000000
2018, 141.891257171997
2019, 167.298076503815
2020, 230.232268130273
2021, 227.385959492465
2022, 262.489416595303
2023, 301.248725601212
2024, 343.877368283692
2025, 390.589369283112
2026, 441.598224074163
2027, 497.117264662345
2028, 557.361181420874
2029, 622.545459463722
2030, 641.119737739552
2031, 768.600101788516
2032, 849.904230783454
2033, 937.017510898593
2034, 1030.160170059630
2035, 1129.553297542330
2036, 1235.417789248180
2037, 1347.975258785560
2038, 1467.449508949830
2039, 1594.065799377110
2040, 1761.602317884540
2041, 1869.626999892840
2042, 2019.022063879710
2043, 2176.457541130750
2044, 2342.154089995950
2045, 2516.332111191800
2046, 2699.213465708890
2047, 2891.020538944340
2048, 3091.973588001010
2049, 3302.291778500950
2050, 3513.947389402100
2051, 3751.897635813910
2052, 3991.622081969750
2053, 4241.571478277860
2054, 4501.943543945220
2055, 4772.937431962950
2056, 5054.759639328430
2057, 5347.624659364280
2058, 5651.748579844710
2059, 5967.353049859520
2060, 6294.661379106410
