Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2012, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000, 21534.00000000000
2013, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000, 22203.00000000000
2014, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000, 22548.29900000000
2015, 24654.74422621320, 22578.78718760760, 27024.47028030230, 24710.14670569030, 24564.98771548690, 22544.68910937700, 25789.65642430240, 23719.20162115560, 24789.60486447930, 24410.14549772370, 22429.72186613740, 26041.45794791500, 23548.38972128050, 24063.57105066700, 23924.94697936540
2016, 25360.86671841760, 23102.75733845650, 27898.55514765100, 25731.59434860410, 25202.04761923150, 23043.97744186630, 26471.04349835120, 24525.30924729210, 25524.29807803930, 24930.63374235090, 22906.91208707250, 26662.34807774380, 24303.25058512650, 24558.70754827530, 24432.12093811360
2017, 26083.99906801430, 23645.20359406720, 28756.90389268220, 26764.16064021370, 25847.01015526970, 23558.94125412580, 27155.94768494080, 25340.08148319660, 26272.77743036720, 25447.98262185830, 23402.11898261810, 27265.38170341310, 25060.05931930340, 25090.37395508470, 25006.88512605210
2018, 26822.84039528410, 24205.05842815590, 29600.06186266420, 27807.48566823850, 26499.04833555330, 24089.24422977810, 27844.37370492550, 26163.36393043720, 27033.66053195230, 25962.19574733010, 23915.43469432090, 27852.92903721970, 25818.72967179900, 25656.49022527610, 25647.04698049550
2019, 27575.93685671790, 24781.21014055990, 30428.52104401230, 28861.14763865370, 27157.18808797110, 24634.50954379160, 28536.27809450600, 26994.95017575290, 27805.40940562080, 26473.13961731790, 24446.91310132170, 28427.32376128670, 26579.12615265220, 26254.83878744320, 26350.27586469250
2020, 28255.69181513820, 25227.74530037040, 31079.07510969770, 30003.55279167510, 27775.17623447550, 25007.33820646270, 29216.55071901580, 28116.11156749360, 28644.62129448230, 27015.16947226340, 24872.22274659600, 29586.57848038790, 27530.32768916470, 27438.19333037390, 27733.76818158040
2021, 29119.65353384790, 25978.27349574990, 32043.72218365020, 30998.12158741620, 28488.46772329750, 25768.75116290840, 29930.73327917740, 28682.54108735740, 29375.92675704070, 27485.30513675620, 25564.91010953360, 29546.43698580370, 28104.89515411230, 27539.93680068970, 27937.16079920050
2022, 29908.15281341070, 26597.35581410830, 32831.96524261970, 32081.02963462770, 29160.45409049800, 26357.38086584790, 30633.67497348990, 29538.56286794920, 30172.41032293510, 27987.06568350100, 26151.94712418630, 30096.35639427080, 28870.42946958440, 28223.01232955690, 28816.89550589580
2023, 30706.44766930970, 27229.10518941770, 33608.54961128930, 33173.51580546790, 29836.01685968660, 26960.30697482370, 31340.90999960290, 30402.96190371310, 30974.97078085430, 28486.41630764780, 26758.21045105940, 30643.55163884530, 29638.04922140070, 28930.76074582590, 29751.64728550370
2024, 31513.63900490620, 27872.86011272810, 34374.56061482620, 34275.70574415700, 30514.73733824790, 27577.61185698530, 32052.93754308870, 31276.04443850950, 31782.62884871630, 28983.77931212480, 27384.21569039340, 31190.93754015560, 30408.12524146080, 29661.49018306210, 30739.60216586250
2025, 32203.40654894390, 28527.92739487590, 35131.05042457920, 35387.69998385000, 31063.52785522610, 28209.34814109410, 32770.22369995210, 32158.08985865010, 32606.75554780020, 29418.01130671760, 28030.45057981490, 31741.39963079170, 31180.99995976030, 30231.80251197790, 31522.01236731650
2026, 33150.91881270850, 29193.47983806210, 35878.91080606310, 36509.44295397910, 31879.78253329610, 28855.43796967110, 33493.08374224040, 33049.23324842820, 33409.12270634380, 29974.04172990800, 28697.27510670920, 32297.68170481250, 31956.87408941360, 31184.92924947680, 32867.67661883840
2027, 33978.92359576810, 29868.65266419900, 36618.99217314900, 37640.83709757400, 32564.99176177900, 29515.76880189940, 34221.79337396870, 33949.57144127180, 34225.71155917070, 30467.52015487140, 29385.01658968160, 32862.49632300060, 32735.91076784710, 31973.97729379980, 34003.88894515750
