# 'Variable Meta-analysis'!C207:X211, VMA #5
Source ID, Link, Region, Specific Geographic Location, Source Validation Code, Year, License Code, Raw Data Input, Original Units, Weight
IPCC WG3 AR5, http://www.ipcc.ch/report/ar5/wg3/, Global, World, , 2014, , 20%, Capacity factor (%), 
REN21, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, Global, World, , 2015, , 10%, Capacity factor (%), 
REN21, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, Global, World, , 2015, , 25%, Capacity factor (%), 
IRENA 2014, https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, Asia (Sans Japan), Asia, , 2014, , 14%, Capacity factor (%), 
IRENA 2014, https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, China, China, , 2014, , 17%, Capacity factor (%), 
IRENA 2014, https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, Middle East and Africa, Africa, , 2014, , 22%, Capacity factor (%), 
IRENA 2014, https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, India, India, , 2014, , 21%, Capacity factor (%), 
IRENA 2014, https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, Latin America, South America, , 2014, , 27%, Capacity factor (%), 
IRENA 2014, https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, USA, USA and Canada, , 2014, , 22%, Capacity factor (%), 
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD", https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/, USA, , , 2016, , 18%, Capacity factor (%), 
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD", https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/, USA, , , 2016, , 15%, Capacity factor (%), 
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD", https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/, USA, , , 2016, , 25%, Capacity factor (%), 
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD", https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/, USA, , , 2016, , 20%, Capacity factor (%), 
