# Adoption Data for the Solar PV Rooftop solution
"Year", "World"
2012, 38.819600000000
2013, 54.043600000000
2014, 75.229200000000
2015, 150.000000000000
2016, 175.000000000000
2017, 250.000000000000
2018, 138.930470835443
2019, 168.127947163435
2020, 213.907609712084
2021, 234.460239226442
2022, 271.444647965070
2023, 310.874293844190
2024, 352.673973365608
2025, 387.389506405194
2026, 443.082619342563
2027, 491.541178801713
2028, 542.068957910386
2029, 594.590753170389
2030, 612.878156871877
2031, 705.315578151611
2032, 763.368200876443
2033, 823.114025759830
2034, 884.477849303578
2035, 871.042350343109
2036, 1011.758678379390
2037, 1077.525276915060
2038, 1144.609060118320
2039, 1212.934824490970
2040, 1300.607057106350
2041, 1353.011482751690
2042, 1424.611969643360
2043, 1497.153623711650
2044, 1570.561241458370
2045, 1766.796766396720
2046, 1719.673553994310
2047, 1795.227841787150
2048, 1871.347279265630
2049, 1947.956662931580
2050, 2024.980789286780
2051, 2041.007704449120
2052, 2179.972456072210
2053, 2257.789589506050
2054, 2335.720651636380
2055, 2413.690438965000
2056, 2491.623747993730
2057, 2569.445375224360
2058, 2647.080117158710
2059, 2724.452770298580
2060, 2801.488131145780
