# Adoption Data for the Solar PV Rooftop solution
"Year", "Based on: AMPERE IMAGE REFpol", "Based on: AMPERE 3 MESSAGE Refpol", "Based on:AMPERE 3 GEM E3 Refpol", "Based on:IEA ETP 2016 6DS", "Based on:AMPERE3 IMAGE 550", "Based on:AMPERE 3 MESSAGE 550", "Based on:AMPERE 3 GEM E3 550", "Based on:IEA ETP 2016 4DS", "Based on: Greenpeace Reference (2015)", "Based on: AMPERE3 IMAGE 450", "Based on:AMPERE 3 MESSAGE 450", "Based on: AMPERE 3 GEM E3 450", "Based on: IEA ETP 2016 2DS", "Based on: Greenpeace Energy Revolution (2015)", "Based on: Greenpeace Advanced Energy Revolution (2015)"
2012, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.819600000000, 38.800000000000,38.819600000000 
2013, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.043600000000, 54.040000000000,54.043600000000 
2014, 75.458024197574, 75.458024197574, 75.458024197574, 75.229200000000, 75.458024197574, 75.458024197574, 75.458024197574, 75.229200000000, 75.229200000000, 75.458024197574, 75.458024197574, 75.458024197574, 75.229200000000, 75.240000000000,75.229200000000 
2015, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000, 150.000000000000
2016, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000, 175.000000000000
2017, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000, 250.000000000000
2018, 218.889398598271, 122.851211646074, 110.681724340178, 137.573233859275, 209.199121403535, 129.321456438190, 131.592432729368, 153.063250385437, 118.335364551292, 196.930691429762, 141.891257171997, 146.723478266718, 138.930470835443, 285.920000000000,339.586315965676 
2019, 245.101551818214, 139.916155940637, 130.345748802412, 153.216635243381, 237.264462429848, 150.359613642501, 156.222743951722, 174.382261838524, 129.649915093277, 220.238855057553, 167.298076503815, 173.061897903140, 168.127947163435, 357.960000000000,433.030848449571 
2020, 413.480566865982, 178.202538584864, 135.851908884104, 213.414292442878, 386.662076926230, 203.437461226520, 152.333503049623, 214.158092496879, 163.200000000000, 374.204185161677, 230.232268130273, 180.295828680926, 213.907609712084, 376.800000000000,436.000000000000 
2021, 300.449949186064, 178.668801925798, 175.536632944225, 185.835780787204, 298.224387108896, 200.148119594767, 211.553111564842, 219.805095828300, 152.177247444858, 269.423540162531, 227.385959492465, 231.426465881624, 234.460239226442, 520.960000000000,646.258743571132 
2022, 329.710813891835, 200.610868910127, 201.162765273002, 202.823112649187, 331.280262576197, 229.341313950023, 242.158822821083, 243.808261301229, 163.376973582799, 295.406835307946, 262.489416595303, 263.298790401144, 271.444647965070, 611.240000000000,765.114844782149 
2023, 360.113950650622, 224.433970975507, 228.876277311340, 220.270009039394, 366.162334745252, 261.696888140562, 274.662665058972, 268.605487717012, 174.525369247735, 322.389877423871, 301.248725601212, 296.862635464072, 310.874293844190, 706.840000000000,891.514207475560 
2024, 391.724005639214, 250.266951701890, 258.728208731310, 238.182263808959, 402.953631519167, 297.438380071212, 309.018833349648, 294.146446543769, 185.615906603839, 350.428135616709, 343.877368283692, 332.042508116168, 352.673973365608, 807.400000000000,1024.993200938040 
2025, 424.605798418563, 278.238946935936, 290.769839566081, 281.545768524673, 441.737436019443, 336.789830413651, 345.181660242435, 326.788857405437, 207.600000000000, 379.577227199626, 390.589369283112, 368.763007927786, 387.389506405194, 849.200000000000,1063.600000000000 
2026, 458.823178142079, 308.478633110364, 325.051884674781, 275.426023890694, 482.596086760242, 379.974867262147, 383.104647402079, 347.258247302681, 207.597295046236, 409.891896221722, 441.598224074163, 406.947793135790, 443.082619342563, 1022.040000000000,1311.335557316910 
2027, 494.439606532336, 341.114544274177, 361.624791163785, 294.769116905130, 525.611535495687, 427.217033320076, 422.740834000259, 374.728432171077, 218.475090460873, 441.426537362067, 497.117264662345, 446.519993551212, 491.541178801713, 1135.400000000000,1463.271658806660 
2028, 531.519706470471, 376.276126304037, 400.539851839128, 314.600743703456, 570.866984087861, 478.741094886170, 464.044103356721, 402.741035322926, 229.268916223365, 474.236578980226, 557.361181420874, 487.403594712771, 542.068957910386, 1252.240000000000,1620.432868212180 
2029, 570.128533185634, 414.093305036468, 441.848758113965, 334.926698136805, 618.446152407828, 534.772556251793, 506.968628311401, 431.245728226347, 239.972244497882, 508.377830307219, 622.545459463722, 529.522831713934, 594.590753170389, 1372.280000000000,1782.355554820140 
2030, 609.406798501842, 446.131028002321, 451.963016227231, 346.176420114466, 651.503522791820, 561.943363008815, 538.225580325215, 477.381108104949, 252.000000000000, 520.178403537856, 641.119737739552, 570.134925861835, 612.878156871877, 1537.600000000000,2026.800000000000 
2031, 652.193595038818, 498.215881649601, 531.856100374972, 377.084765313101, 720.911936480512, 661.262630118354, 597.498585778957, 489.530069160387, 261.081297239685, 580.878070326473, 768.600101788516, 617.165310049293, 705.315578151611, 1620.320000000000,2118.630836790140 
2032, 695.780673853090, 544.782680202215, 580.658924918603, 398.928465758315, 775.967102910249, 732.174971279977, 645.012524100012, 519.209060127245, 271.473966035313, 619.349304401126, 849.904230783454, 662.536867932751, 763.368200876443, 1747.640000000000,2292.056170725510 
2033, 741.159169569788, 594.528683004008, 632.065209028691, 421.289669243084, 833.684211647895, 808.503265881328, 693.965632235123, 549.178826718155, 281.750025999655, 659.377131240635, 937.017510898593, 708.841614329650, 823.114025759830, 1876.640000000000,2468.388459010040 
2034, 788.396244350536, 647.586577417854, 686.128865518794, 444.174169618541, 894.149670680261, 890.477455334616, 744.313469510427, 579.389040401237, 291.902949296882, 701.019206958093, 1030.160170059630, 756.004847004547, 884.477849303578, 2006.960000000000,2647.164070930400 
2035, 837.559244514612, 704.089518083204, 742.904110228577, 418.973794578569, 957.450196604145, 978.328319180717, 796.011628719048, 598.673979223877, 301.926208091166, 744.333343619882, 1129.553297542330, 803.951794365174, 871.042350343109, 2138.280000000000,2827.919375773270 
2036, 888.714939561040, 764.170478242449, 802.444762863873, 491.536236446048, 1023.671934407090, 1072.286567545660, 849.014979513010, 640.329494916394, 311.813274546680, 789.376833277371, 1235.417789248180, 852.606851932985, 1011.758678379390, 2270.240000000000,3010.190742825320 
2037, 941.930267511413, 827.962835977786, 864.804861422521, 516.025390600365, 1092.901286329990, 1172.583630523520, 903.278341871902, 670.959078684710, 321.557620827595, 836.207111370217, 1347.975258785560, 901.894272514246, 1077.525276915060, 2402.400000000000,3193.514541373230 
2038, 997.273335533532, 895.601274521596, 930.039587857974, 541.061017049902, 1165.226078538090, 1279.452945143540, 958.757431981947, 701.627795417677, 331.152719098082, 884.882644529691, 1467.449508949830, 951.739103351893, 1144.609060118320, 2534.440000000000,3377.427140703670 
2039, 1054.812805131600, 967.221313982699, 998.204747745274, 566.648909645791, 1240.734874697620, 1393.129334018480, 1015.408262021210, 732.285316583414, 340.592041522313, 935.462383039892, 1594.065799377110, 1002.066564280070, 1212.934824490970, 2666.040000000000,3561.464910103330 
2040, 1068.575798584170, 1042.411470399850, 1103.237945267390, 601.324058892195, 1294.824446513810, 1532.454547230210, 1094.274439846130, 738.856576648477, 332.800000000000, 965.781713237492, 1761.602317884540, 1061.579651767360, 1300.607057106350, 2821.600000000000,3776.800000000000 
2041, 1176.754456365080, 1122.948935080310, 1143.548972331860, 619.504668681158, 1401.657817448240, 1641.844506715470, 1132.046763215450, 793.365458085681, 358.977247488697, 1042.569226153500, 1869.626999892840, 1103.867232242590, 1353.011482751690, 2926.280000000000,3928.061436256980 
2042, 1241.291864005860, 1207.327163935090, 1220.837971460400, 646.784122822903, 1487.246966777920, 1777.353205243770, 1191.943048989710, 823.687421358450, 367.910075359193, 1099.212334409380, 2019.022063879710, 1155.186933098290, 1424.611969643360, 3054.200000000000,4109.692931584330 
2043, 1308.295150095220, 1296.227173387600, 1301.276193776940, 674.639018515531, 1576.368888662740, 1920.607079338890, 1252.827358068930, 853.796874936469, 376.661016040121, 1157.990795632700, 2176.457541130750, 1206.681384138140, 1497.153623711650, 3180.200000000000,4289.595074127590 
2044, 1377.828913114720, 1389.781681926790, 1384.915481453170, 703.075149610178, 1669.107464006520, 2071.837415624340, 1314.650386519840, 883.643490287857, 385.223541695652, 1218.959933655360, 2342.154089995950, 1258.270159477350, 1570.561241458370, 3303.880000000000,4467.304233173450 
2045, 1449.957668370680, 1488.123299975810, 1471.807445198540, 760.499426350281, 1765.546415981440, 2231.275325588130, 1377.362507659880, 927.696488798829, 393.591124489958, 1282.174998848450, 2516.332111191800, 1309.872503398290, 1766.796766396720, 3424.880000000000,4642.356778008570 
2046, 1524.746831751720, 1591.385541850230, 1562.004475338690, 761.714293410054, 1865.770512871790, 2399.153264455100, 1440.914726791270, 942.346892183224, 401.757236587212, 1347.692037949840, 2699.213465708890, 1361.408240062700, 1719.673553994310, 3542.880000000000,4814.289077919640 
2047, 1602.262119566430, 1699.702260029010, 1655.559169239640, 791.928893817550, 1969.864858168320, 2575.704207988980, 1505.258114637990, 971.103021663441, 409.715350151584, 1415.567362154790, 2891.020538944340, 1412.797219994060, 1795.227841787150, 3657.480000000000,4982.637502193330 
2048, 1682.568083912490, 1813.206084559970, 1752.522821450050, 822.747905031596, 2077.913090180630, 2761.159284529580, 1570.342446707470, 999.394998789507, 417.458937347248, 1485.856253291530, 3091.973588001010, 1463.958047147950, 1871.347279265630, 3768.280000000000,5146.938420116310 
2049, 1765.728774749550, 1932.029043706170, 1852.946074990950, 854.177120903324, 2189.998171888320, 2955.748676903220, 1636.116869173100, 1027.172495029540, 424.981470338373, 1558.613550649000, 3302.291778500950, 1514.808734406830, 1947.956662931580, 3875.000000000000,5306.728200975270 
2050, 1869.343748958620, 2057.311254805520, 1946.969898358280, 874.691850918033, 2317.014131132230, 3155.585026977280, 1695.701600945030, 1054.385181851670, 438.400000000000, 1644.361687047050, 3513.947389402100, 1562.189108924360, 2024.980789286780, 3965.600000000000,5445.200000000000 
2051, 1940.869747112550, 2186.159148163510, 2064.372472146180, 918.889342024358, 2426.609451865590, 3373.248886931150, 1769.531217402200, 1081.341386162010, 439.337262363700, 1711.752033394800, 3751.897635813910, 1615.250537737640, 2041.007704449120, 4074.560000000000,5610.919828647810 
2052, 2032.977909903920, 2321.729630932550, 2175.476039954540, 952.183934975931, 2551.301006241290, 3596.618747623760, 1837.068674737350, 1106.914813114660, 446.157465726244, 1792.242713008650, 3991.622081969750, 1664.677037444570, 2179.972456072210, 4166.680000000000,5754.394414034740 
2053, 2128.189645964570, 2463.137931154300, 2290.232639660550, 986.111907989718, 2680.351423167400, 3830.028588647560, 1905.085124789040, 1132.131100491770, 452.730503540938, 1875.414692714740, 4241.571478277860, 1713.458624940880, 2257.789589506050, 4253.240000000000,5891.503339504360 
2054, 2226.559229706410, 2610.503840305360, 2408.681653755960, 1020.679054916850, 2813.830949490830, 4073.689164120230, 1973.520771918450, 1156.581264323450, 459.049847971953, 1961.314216503750, 4501.943543945220, 1761.505515372450, 2335.720651636380, 4333.840000000000,6021.782974343320 
