"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Aguirre, K., Eisenhardt, L., Lim, C., Nelson, B., Norring, A., Slowik, P., & Tu, N. (2012). Lifecycle analysis comparison of a battery electric vehicle and a conventional gasoline vehicle. Full Lifetime Cost Analysis of Battery, Plug-in Hybrid and FCEVs in China in the Near Future, Frontiers in Energy, 6, 107-111.",http://www.environment.ucla.edu/media/files/BatteryElectricVehicleLCA2012-rh-ptd.pdf,OECD90,USA - California ,,2 - Public Sector/ Multilateral Agency,2012,,,miles/gallon,7.0,%,,Diesel fuel,
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Average Hybrid,,3 - For Profit,2013,,,miles/gallon,7.0,%,,E10 Gasoline,
EIA Dataset (2015) Annual Energy Outlook Browser,http://www.eia.gov/oiaf/aeo/tablebrowser/#release=AEO2015&subject=15-AEO2015&table=50-AEO2015&region=0-0&cases=ref2015-d021915a,OECD90,USA - ,,2 - Public Sector/ Multilateral Agency,2015,,,miles/gallon,7.0,%,,Gasoline,
"EPA (2015) Light-Duty Automotive Technology, Carbon Dioxide Emissions, and Fuel Economy Trends: 1975 Through 2015",https://www.autonews.com/assets/PDF/CA1029731216.PDF,OECD90,USA - ,,2 - Public Sector/ Multilateral Agency,2015,,,miles/gallon,7.0,%,,Petrol production and combustion - 2.31 kg CO2e/L for combustion  0.46 kg CO2e/L for production,
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Ford Fusion Hybrid,,3 - For Profit,2013,,,miles/gallon,7.0,%,,,
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Honda Civic Hybrid,,3 - For Profit,2013,,,miles/gallon,7.0,%,,,
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Toyota Camry Hybrid XLE,,3 - For Profit,2013,,,miles/gallon,7.0,%,,,
"Davis, M., Alexander, M., & Duvall, M. (2013). Total cost of ownership model for current plug-in electric vehicles. Electric Power Research Institute.",http://www.epri.com/abstracts/Pages/ProductAbstract.aspx?ProductId=000000003002001728,OECD90,USA - Toyota Prius IV,,3 - For Profit,2013,,,miles/gallon,7.0,%,,,
UNEP (2009) Hybrid Electric Vehicles: An overview of current technology and its application in developing and transitional countries,https://www.fiafoundation.org/transport/gfei/autotool/approaches/technology/Hybrid%20Electric%20Vehicles%20final%20cs2.pdf,World,Developing Countries ,,2 - Public Sector/ Multilateral Agency,2009,,,km/L,7.0,%,,,
