Year,URBAN,NONURBAN
2012, 22374.39939936610, 9587.37315682194 
2013, 23275.79242573500, 9902.69629898483 
2014, 11298.13602505990, 9117.28758006440 
2015, 11439.47901694380, 9301.38728299611 
2016, 11741.24689378870, 9636.72375064506 
2017, 12021.88297619430, 9929.08899466521 
2018, 12206.97745972200, 10224.78104668400 
2019, 12141.44417354240, 10523.73128557520 
2020, 12172.64094763250, 10942.02510495570 
2021, 12153.57769259620, 11088.27793697040 
2022, 12128.58357289940, 11325.95117623810 
2023, 12085.39626488970, 11532.35106813800 
2024, 12031.90876509170, 11700.65547637470 
2025, 11944.51955696660, 11866.22791572580 
2026, 11807.47488554680, 11894.23539063670 
2027, 11810.15020795350, 11904.39381993950 
2028, 11833.56673370110, 11846.26097532460 
2029, 11887.76916983060, 11711.58929234350 
2030, 12004.41858457990, 11489.80810927350 
2031, 11839.64599110270, 11468.01591532330 
2032, 11679.88862759960, 11419.34009329580 
2033, 11505.42852802190, 11345.15076147910 
2034, 11317.75070423790, 11244.78252445260 
2035, 11104.99438775770, 11056.52406126230 
2036, 10907.61245685910, 10962.85147286160 
2037, 10687.05925444610, 10779.95780358560 
2038, 10457.13701377510, 10568.24517366340 
2039, 10218.47291666530, 10327.07801538820 
2040, 9898.33537102380, 10027.80988812090 
2041, 9716.93369339655, 9753.85760259228 
2042, 9454.98659378561, 9420.54944172966 
2043, 9186.19922062957, 9055.27222007247 
2044, 8911.00409736517, 8657.40119430137 
2045, 8739.09407514878, 8262.57352006294 
2046, 8343.40323184811, 7761.46223455332 
2047, 8052.04854290668, 7262.24163555867 
2048, 7756.41272762258, 6728.10533770629 
2049, 7457.09980887374, 6158.50827942154 
2050, 7113.79377664446, 5551.86779512404 
2051, 6904.31519774738, 5251.14073118070 
2052, 6276.74117678454, 4956.51271022276 
2053, 5605.73761014831, 4671.09940947131 
2054, 4889.37518828731, 4397.01855772215 
2055, 4125.68937629404, 4136.47561184805 
2056, 3312.73493647089, 3891.78113366882 
2057, 2448.52737793440, 3665.34741474321 
2058, 1531.01466134132, 3459.66229900713 
2059, 1099.79260228824, 2735.56323755845 
2060, 669.68852253769, 1978.73641144616 
