Year,URBAN,NONURBAN
2012, 22374.399399366100, 9587.373156821940 
2013, 23275.792425735000, 9902.696298984830 
2014, 11298.136025059900, 9117.287580064400 
2015, 11152.609133504600, 9232.596061195250 
2016, 10910.855974663100, 9507.976260287670 
2017, 10653.908585826600, 9736.787220984640 
2018, 10374.097711027400, 9965.177567249500 
2019, 10067.211185827500, 10192.928548442900 
2020, 9911.368707856730, 10535.975314808400 
2021, 9428.199461065190, 10622.965198213900 
2022, 8983.311684350630, 10796.668106598800 
2023, 8541.660032551160, 10935.424621750800 
2024, 8111.431689021440, 11034.125547345600 
2025, 7640.494302072050, 11129.093458621300 
2026, 7317.220944061930, 11093.366805918900 
2027, 6968.983836072050, 11046.640412243900 
2028, 6665.370306405890, 10946.973104985800 
2029, 6409.883843770270, 10791.246147928900 
2030, 5986.483708308840, 10333.544629054200 
2031, 5353.466184997880, 10052.980541727500 
2032, 4756.028267030150, 9766.501827045210 
2033, 4180.503823029550, 9482.109956812900 
2034, 3617.034226510050, 9188.641391549280 
2035, 3084.756566330870, 8834.798545896790 
2036, 2561.890117071160, 8604.975121805880 
2037, 2075.420268622310, 8317.471455165500 
2038, 1620.269256309560, 8035.085077189150 
2039, 1180.614381177190, 7740.730546637870 
2040, 599.634003211258, 6523.130366055290 
2041, 235.408287296895, 5266.997239489050 
2042, 60.947162979514, 3795.785204302120 
2043, 275.915463618729, 3098.563771352340 
2044, 655.774172833737, 2530.683973714000 
2045, 1105.855869065750, 1903.913582577270 
2046, 1540.921234507750, 1244.375645230370 
2047, 1601.533369505150, 970.893129338907 
2048, 1684.952700529690, 669.400663030290 
2049, 110.910318367936, 2020.005766555230 
2050, 172.865216248874, 1725.139112687680 
2051, 281.674339202487, 1378.018172445310 
2052, 401.105299661902, 1014.506440555410 
2053, 543.931787022546, 621.199273934779 
2054, 426.557812568604, 481.522896910908 
2055, 608.135256370681, 36.398409816815 
2056, 204.199090570155, 168.826629156778 
2057, -60.663271216628, 154.233313953759 
2058, -7.212345003236, -186.736388574762
2059, 61.640150852480, -546.962543513342
2060, -211.401758532360, -579.761753756640
