Year,World
2012,
2013,
2014,43923560212.966324
2015,44604733665.91058
2016,45361675039.95316
2017,46121525663.32126
2018,46884220450.90059
2019,47650098202.514755
2020,48419406551.88857
2021,49191805206.59279
2022,49966952653.77323
2023,50745190377.70769
2024,51527080652.01317
2025,52313080966.61229
2026,53103319414.80557
2027,53897769374.21559
2028,54696581341.023285
2029,55499904238.37843
2030,56307884488.00362
2031,57011203831.25302
2032,57717070497.692474
2033,58425632223.01916
2034,59137028765.04494
2035,59851378597.36128
2036,60568742108.716324
2037,61289181643.60892
2038,62012804626.13097
2039,62739722731.00197
2040,63469993590.49045
2041,64203662815.70207
2042,64940649736.52288
2043,65680712093.23058
2044,66423505139.33762
2045,67168735139.26193
2046,67916288942.42957
2047,68666110862.79688
2048,69418025652.89566
2049,70171855086.26476
2050,70927460844.99084
2051,71684805477.9415
2052,72443868976.84177
2053,73204571888.4502
2054,73966836671.5746
2055,74730651478.28796
2056,75496057674.25922
2057,76263220637.16754
2058,77032432465.501
2059,77804081726.68338
2060,78578546313.79102
