Year,World
2012,
2013,
2014,43923560212.966324
2015,44131807647.95114
2016,44391798418.9391
2017,44630303617.44121
2018,44846876700.720436
2019,45041432164.77543
2020,45213775529.09717
2021,45363172966.46914
2022,45488929656.061516
2023,45590989595.1804
2024,45669494895.22653
2025,45724476379.88301
2026,45755654489.00137
2027,45762611097.79021
2028,45745088881.134636
2029,45702825117.79353
2030,45635550683.60234
2031,45487754203.40156
2032,45319141853.94091
2033,45129537415.93292
2034,44918747139.60402
2035,44686560007.49579
2036,44432723951.60522
2037,44156998856.088234
2038,43859185003.65426
2039,43539091554.86699
2040,43196485429.56202
2041,42831116378.11045
2042,42442645031.850365
2043,42030639434.75033
2044,41594620226.95834
2045,41134165385.977356
2046,40648982965.45275
2047,40138829471.70634
2048,39603404563.12623
2049,39042421451.1053
2050,38455625110.57338
2051,38612580732.94905
2052,38764753965.85883
2053,38912103600.25477
2054,39054589171.91683
2055,39192209634.8927
2056,39325004883.02979
2057,39453076701.87256
2058,39576576567.020775
2059,39695697978.46281
2060,39810632157.88546
