Year,World
2012,
2013,
2014,43923560212.966324
2015,44355200407.72901
2016,44848660384.59215
2017,45330804938.95309
2018,45801285567.200775
2019,46260133917.05028
2020,46707279865.16644
2021,47142090148.30398
2022,47563950854.20157
2023,47972906542.04997
2024,48369209324.864456
2025,48753001925.316345
2026,49124106899.148315
2027,49482199864.12577
2028,49827123720.004875
2029,50158716704.80615
2030,50476811453.16265
2031,50701307467.93965
2032,50913570603.74832
2033,51113503201.49775
2034,51300993658.331604
2035,51475910554.56279
2036,51638073061.02395
2037,51787307209.64533
2038,51923480976.764145
2039,52046468593.11406
2040,52156096280.20895
2041,52252174885.68263
2042,52334409292.506195
2043,52402381186.36297
2044,52455600724.315704
2045,52493632892.44331
2046,52516195086.6639
2047,52523057121.25247
2048,52513904715.57627
2049,52488430235.1008
2050,52446361713.693665
2051,52861757278.43267
2052,53275177873.850395
2053,53686566547.68245
2054,54095867653.49547
2055,54503076316.01649
2056,54908233865.62659
2057,55311470366.87012
2058,55712998935.64779
2059,56113098296.6873
2060,56512041311.23642
