Year,World
2012,
2013,
2014,43923560212.966324
2015,44230955077.307816
2016,44594285737.20596
2017,44940350730.308975
2018,45268732904.76665
2019,45579384614.8045
2020,45872152402.87262
2021,46146332949.54776
2022,46401253303.20209
2023,46636888015.665855
2024,46853413893.78343
2025,47050897271.07062
2026,47229089805.982376
2027,47387600937.5653
2028,47526203741.104385
2029,47644666213.8643
2030,47742750302.582634
2031,47754208967.25632
2032,47748204145.7362
2033,47724584635.736885
2034,47683183255.141655
2035,47623814437.50107
2036,47546247938.70551
2037,47450263276.37071
2038,47335681060.27315
2039,47202329666.19848
2040,47049992768.83031
2041,46878437679.49817
2042,46687335389.174774
2043,46476251237.58989
2044,46244692947.042114
2045,45992224670.05219
2046,45718550357.09151
2047,45423424224.04732
2048,45106532115.03419
2049,44767570634.7071
2050,44406269988.78558
2051,44673091812.58775
2052,44936326232.22193
2053,45195925477.83952
2054,45451842773.88706
2055,45704075598.27336
2056,45952664604.53192
2057,46197723770.46116
2058,46439430987.10306
2059,46678016225.90811
2060,46913705661.1051
