VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,619.5288086319412,1233.9671773617983,5.090439902083858
2,CONVENTIONAL First Cost per Implementation Unit,1.2321684543593556,1.2321684543593556,1.2321684543593556
4,CONVENTIONAL Lifetime Capacity,1.4162003604e-08,1.4162003604e-08,1.4162003604e-08
5,SOLUTION Lifetime Capacity,1.6209874133333332e-09,2.2434853391658756e-09,9.984894875007908e-10
6,CONVENTIONAL Average Annual Use,1.4162003604e-08,1.4162003604e-08,1.4162003604e-08
7,SOLUTION Average Annual Use,1.6209874133333332e-09,2.2434853391658756e-09,9.984894875007908e-10
8,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,11732406.139444258,16320830.626679692,7143981.652208824
10,CONVENTIONAL Fixed Operating Cost (FOM),1.5973752970573485,2.087858897344097,1.1068916967705997
15,CONVENTIONAL Fuel Consumed per Functional Unit,52941803.479383595,63320590.44440062,42563016.51436657
16,SOLUTION Fuel Efficiency Factor,100.0,100.0,100.0
19,CONVENTIONAL Indirect CO2 Emissions per Unit,30976.73458017209,49074.250551384204,12879.218608959975
25,Normal Car Occupancy,1.573555956,1.573555956,1.573555956
26,Threshold City Density for Marked Increase in Walking,3085.3333333333335,3297.9571534685406,2872.7095131981264
27,Walking Mode Share of Dense Cities,0.0675,0.07,0.065
28,Walking Mode Share of non-dense Cities,0.024,0.028,0.02
29,ICE Car Lifetime,0.0003124611069072858,0.0003901972103767135,0.0002347250034378581
30,Discount Rates - Households,0.04,0.04999999999999999,0.030000000000000013
31,Car Depreciation (First) Costs,1.2376792203017979,1.5608217988294057,0.91453664177419
32,Car Insurance Costs,0.35969607675555043,0.5270370985146916,0.19235505499640923
33,Annual Rate of Urban Density Decline,7.0,7.0,7.0
