"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Regina et al., 2007 (Strack 2008), Table 3.4. Full reference: Strack, M. (n.d.). Peatlands and Climate Change, 227.",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Southern Finland,,1  - Peer Reviewed,,,-0.3,Kg CH4/ha/yr,-0.008400000000000001,t CH4-CO2-eq / ha / year,,Table 3.4,
"Regina et al., 2007 (Strack 2008), Table 3.4. Full reference: Strack, M. (n.d.). Peatlands and Climate Change, 227.",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Northern Finland,,1  - Peer Reviewed,,,-0.2,Kg CH4/ha/yr,-0.005600000000000001,t CH4-CO2-eq / ha / year,,Table 3.4,
"Regina et al., 2007 (Strack 2008), Table 3.4. Full reference: Strack, M. (n.d.). Peatlands and Climate Change, 227.",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Northern Finland,,1  - Peer Reviewed,,,3.6,Kg CH4/ha/yr,0.1008,t CH4-CO2-eq / ha / year,,Table 3.4,
"IPCC (2013), Table 2.3 ""TIER 1 CH4 EMISSION/REMOVAL FACTORS FOR DRAINED ORGANIC SOILS (EFCH4_LAND) IN ALL LAND-USE CATEGORIES""- ""Peat extraction"", boreal and temperate. Full reference: IPCC 2014, 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands,
Hiraishi, T., Krug, T., Tanabe, K., Srivastava, N., Baasansuren, J., Fukuda, M. and Troxler, T.G. (eds).
Published: IPCC, Switzerland., Table 2.3 ""TIER 1 CH4 EMISSION/REMOVAL FACTORS FOR DRAINED ORGANIC SOILS (EFCH4_LAND) IN ALL LAND-USE CATEGORIES""- ""Peat extraction"". Full reference: IPCC. Hiraishi, T., Krug, T., Tanabe, K., Srivastava, N., Baasansuren, J., Fukuda, M. and Troxler, T.G. (eds). (n.d.). 2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands Methodological Guidance on Lands with Wet and Drained Soils, and Constructed Wetlands for Wastewater Treatment. Switzerland: IPCC.",https://www.ipcc-nggip.iges.or.jp/public/wetlands/pdf/Wetlands_Supplement_Entire_Report.pdf,World,,Temperate/Boreal-Humid,1  - Peer Reviewed,,,6.1,Kg CH4/ha/yr,0.17079999999999998,t CH4-CO2-eq / ha / year,,"Table 2.3 ""TIER 1 CH4 EMISSION/REMOVAL FACTORS FOR DRAINED ORGANIC SOILS (EFCH4_LAND) IN ALL LAND-USE CATEGORIES""- ""Peat extraction"" Page 58",
"Biancalani & Avagyan (2014), Table 6.1 Emission factors from drained peatlands (IPCC, 2013), Forest, high, land, boreal. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
, Table 6.1 forest land. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).",http://www.fao.org/3/a-i4029e.pdf,World,,Temperate/Boreal-Humid,2 - Public Sector/ Multilateral Agency,2014.0,,2.0,Kg CH4/ha/yr,0.056,t CH4-CO2-eq / ha / year,,Table 6.1 forest land,
"Biancalani & Avagyan (2014), Table 6.1 Emission factors from drained peatlands (IPCC, 2013), Forest, high, land, boreal. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
, Table 6.1 forest land. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).",http://www.fao.org/3/a-i4029e.pdf,World,,Temperate/Boreal-Humid,2 - Public Sector/ Multilateral Agency,2014.0,,7.0,Kg CH4/ha/yr,0.196,t CH4-CO2-eq / ha / year,,Table 6.1 forest land,
"Biancalani & Avagyan (2014), Table 6.1 Emission factors from drained peatlands (IPCC, 2013), grassland, boreal. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
, Table 6.1 grassland land. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).",http://www.fao.org/3/a-i4029e.pdf,World,,Temperate/Boreal-Humid,2 - Public Sector/ Multilateral Agency,2014.0,,1.4,Kg CH4/ha/yr,0.0392,t CH4-CO2-eq / ha / year,,Table 6.1 grassland land,
"Biancalani & Avagyan (2014), Table 6.1 Emission factors from drained peatlands (IPCC, 2013), forest, ditch, boreal. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
, Table 6.1 forest ditch. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).",http://www.fao.org/3/a-i4029e.pdf,World,,Temperate/Boreal-Humid,2 - Public Sector/ Multilateral Agency,2014.0,,217.0,Kg CH4/ha/yr,6.076,t CH4-CO2-eq / ha / year,,Table 6.1 forest ditch,
"Biancalani & Avagyan (2014), Table 6.1 Emission factors from drained peatlands (IPCC, 2013), grassland, low, ditch, boreal. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
, Table 6.1 grassland ditch. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).",http://www.fao.org/3/a-i4029e.pdf,World,,Temperate/Boreal-Humid,2 - Public Sector/ Multilateral Agency,2014.0,,527.0,Kg CH4/ha/yr,14.756,t CH4-CO2-eq / ha / year,,Table 6.1 grassland ditch,
"Biancalani & Avagyan (2014), Table 6.1 Emission factors from drained peatlands (IPCC, 2013), grassland, high, ditch, boreal. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).
, Table 6.1 grassland ditch. Full reference: Biancalani, R., Avagyan, A., & Food and Agriculture Organization of the United Nations (Eds.). (2014). Towards climate-responsible peatlands management. Rome: Food and Agriculture Organization of the United Nations (FAO).",http://www.fao.org/3/a-i4029e.pdf,World,,Temperate/Boreal-Humid,2 - Public Sector/ Multilateral Agency,2014.0,,1165.0,Kg CH4/ha/yr,32.62,t CH4-CO2-eq / ha / year,,Table 6.1 grassland ditch,
