Year,Project Drawdown Updated AEZ Model - Jan 2020
2012,822.8023098865511
2013,822.8023098865511
2014,822.8023098865511
2015,822.8023098865511
2016,822.8023098865511
2017,822.8023098865511
2018,822.8023098865511
2019,822.8023098865511
2020,822.8023098865511
2021,822.8023098865511
2022,822.8023098865511
2023,822.8023098865511
2024,822.8023098865511
2025,822.8023098865511
2026,822.8023098865511
2027,822.8023098865511
2028,822.8023098865511
2029,822.8023098865511
2030,822.8023098865511
2031,822.8023098865511
2032,822.8023098865511
2033,822.8023098865511
2034,822.8023098865511
2035,822.8023098865511
2036,822.8023098865511
2037,822.8023098865511
2038,822.8023098865511
2039,822.8023098865511
2040,822.8023098865511
2041,822.8023098865511
2042,822.8023098865511
2043,822.8023098865511
2044,822.8023098865511
2045,822.8023098865511
2046,822.8023098865511
2047,822.8023098865511
2048,822.8023098865511
2049,822.8023098865511
2050,822.8023098865511
2051,822.8023098865511
2052,822.8023098865511
2053,822.8023098865511
2054,822.8023098865511
2055,822.8023098865511
2056,822.8023098865511
2057,822.8023098865511
2058,822.8023098865511
2059,822.8023098865511
2060,822.8023098865511
