Year,Project Drawdown Updated AEZ Model - Jan 2020
2012,1410.671278499341
2013,1410.671278499341
2014,1410.671278499341
2015,1410.671278499341
2016,1410.671278499341
2017,1410.671278499341
2018,1410.671278499341
2019,1410.671278499341
2020,1410.671278499341
2021,1410.671278499341
2022,1410.671278499341
2023,1410.671278499341
2024,1410.671278499341
2025,1410.671278499341
2026,1410.671278499341
2027,1410.671278499341
2028,1410.671278499341
2029,1410.671278499341
2030,1410.671278499341
2031,1410.671278499341
2032,1410.671278499341
2033,1410.671278499341
2034,1410.671278499341
2035,1410.671278499341
2036,1410.671278499341
2037,1410.671278499341
2038,1410.671278499341
2039,1410.671278499341
2040,1410.671278499341
2041,1410.671278499341
2042,1410.671278499341
2043,1410.671278499341
2044,1410.671278499341
2045,1410.671278499341
2046,1410.671278499341
2047,1410.671278499341
2048,1410.671278499341
2049,1410.671278499341
2050,1410.671278499341
2051,1410.671278499341
2052,1410.671278499341
2053,1410.671278499341
2054,1410.671278499341
2055,1410.671278499341
2056,1410.671278499341
2057,1410.671278499341
2058,1410.671278499341
2059,1410.671278499341
2060,1410.671278499341
