Year,coal,natural gas,hydro,oil products
2012,8804.607123247013,5201.291764705884,3683.0,933.1383928571429
2013,9006.760738665875,5338.985000000001,3787.0,931.5008403361345
2014,9205.258751947762,5483.818823529412,3904.0,930.8143382352941
2015,9400.101163092675,5638.9094117647055,3897.0,931.3966386554622
2016,9594.0,5794.0,4049.0,931.9789390756303
2017,9778.81917897158,5958.8932352941165,4037.0,933.6722689075631
2018,9962.694783705572,6130.018823529411,4199.531616828671,936.0011029411766
2019,10142.914786302588,6307.149705882352,4266.06382726126,938.8865546218487
2020,10317.651385694146,6492.834411764705,4331.057995102768,942.4491596638655
2021,10492.387985085701,6678.519117647057,4396.052162944276,946.0117647058823
2022,10661.641181271796,6872.3035294117635,4459.508288194702,950.09375
2023,10827.238775320917,7071.184999999999,4521.939051717741,954.4168067226891
2024,10989.180767233063,7274.9364705882335,4583.344453513393,958.9020483193278
2025,11145.639355939747,7485.53882352941,4643.211812717964,963.4727941176471
2026,11302.097944646433,7696.141176470586,4703.079171922534,968.0435399159664
2027,11453.073130147659,7913.140294117646,4761.408488536024,972.5420168067227
2028,11600.392713511908,8134.101176470587,4818.712443422126,976.8871323529412
2029,11744.056694739185,8358.796764705881,4874.991036580841,981.0
2030,11882.237272761,8588.640294117646,4929.731587148475,984.6067226890757
2031,12020.417850782815,8818.483823529412,4984.472137716109,988.2134453781513
2032,12153.115025599169,9053.021176470587,5037.674645692661,991.15625
2033,12282.156598278549,9290.385,5089.851791941826,993.5512605042018
2034,12407.542568820954,9530.348235294117,5141.003576463605,995.3195903361345
2035,12527.445136157898,9773.756470588236,5190.617318394301,995.9901260504203
2036,12647.347703494843,10017.164705882355,5240.231060324998,996.660661764706
2037,12761.766867626326,10263.563823529414,5288.306759664614,996.075630252101
2038,12872.530429620834,10511.65411764706,5335.357097276842,994.5483718487395
2039,12979.63838947837,10761.208529411766,5381.3820731616825,991.45
2040,13096.0,11012.0,5425.869006455443,988.3516281512606
2041,13182.887502782518,11263.801470588238,5470.355939749203,983.5243697478993
2042,13279.028656229131,11516.385882352943,5513.304830451881,977.4393382352943
2043,13371.51420753877,11769.52617647059,5555.228359427172,970.0176470588236
2044,13460.344156711435,12022.995294117649,5596.126526675076,961.1804096638656
2045,13545.518503747126,12276.566176470591,5635.486651331899,950.8487394957984
2046,13627.03724864584,12530.011764705883,5674.846775988722,938.9437500000001
2047,13704.900391407584,12783.105000000003,5712.668858054463,925.3865546218489
2048,13779.107932032352,13035.618823529414,5749.465578392817,910.0982668067229
2049,13849.659870520145,13287.32617647059,5785.236937003784,893.0
2050,13912.0,13538.0,5824.0,874.012867647059
2051,13979.79694108481,13787.41323529412,5853.703569043555,853.0579831932776
2052,14039.382073161683,14035.338823529415,5886.39884247236,830.0564600840337
2053,14095.311603101582,14281.549705882353,5918.068754173778,804.929411764706
2054,14147.585530904506,14525.818823529411,5948.713304147808,777.5979516806724
2055,14196.203856570453,14767.91911764706,5978.33249239445,747.983193277311
2056,14241.166580099429,15007.623529411765,6006.9263189137055,716.0062500000001
2057,14282.473701491432,15244.704999999998,6034.494783705573,681.5882352941179
2058,14320.125220746459,15478.936470588233,6061.037886770053,644.6502626050423
2059,14354.121137864511,15710.090882352939,6086.555628107146,605.1134453781514
2060,14384.46145284559,15937.941176470584,6111.048007716851,562.8988970588239
