Year,coal,natural gas,hydro,oil products
2012,9581.467474702064,4788.614825023325,3683.0,1103.044448332301
2013,9615.783405608649,4971.720912511662,3787.0,1065.9246497810739
2014,9652.67030108228,5154.827,3904.0,1033.346
2015,9697.148000000001,5273.327915311667,3897.0,998.8145397311246
2016,9733.71458585321,5391.828830623335,4049.0,964.2830794622491
2017,9777.65077521177,5548.698549214753,4037.0,933.485315640086
2018,9823.715529259907,5707.594453337059,4297.443353706131,904.1506738795586
2019,9871.79824802825,5868.316392317417,4396.621483467275,876.2321995324145
2020,9922.686713938168,6031.377082239174,4494.593768333305,849.6829379504019
2021,9973.575179848087,6194.437772160932,4591.39533298028,824.4559344852685
2022,10027.048192960843,6359.436911678413,4687.061302084259,800.504234488762
2023,10082.096770916336,6525.461483362591,4781.6268003213045,777.7808833126305
2024,10138.610313745197,6692.311336540629,4875.126952367473,756.2389263086218
2025,10231.660644168858,6859.998810613779,4967.596882898823,736.375151266293
2026,10255.58989414555,7027.68628468693,5059.0717165914175,716.5113762239642
2027,10315.834731778308,7195.811078309516,5149.586578121314,698.2318738468109
2028,10377.102134406961,7363.96055073461,5239.176592164571,680.9459470487719
2029,10439.281502062146,7531.934551289371,5327.87688339725,664.6066411815949
2030,10502.607617318386,7699.245042692958,5415.722576495408,649.5933574142068
2031,10565.933732574626,7866.555534096546,5502.748796135106,634.5800736468186
2032,10630.185395493188,8032.802215003281,5588.990666992404,620.7989026827149
2033,10694.906623560808,8198.07282134833,5674.48331374336,607.7765340564648
2034,10759.986816808118,8362.167202458859,5759.261861064033,595.4660131198159
2035,10825.384257886228,8524.096944371926,5843.361433630484,584.1293544210647
2036,10890.781698964336,8686.026686284991,5926.81715611877,572.7926957223135
2037,10956.275187934509,8845.391487654919,6009.664153204954,562.335989964956
2038,11021.685242206899,9002.77946109897,6091.937549565093,552.403313304191
2039,11086.901261812141,9157.990455944306,6173.672469875246,542.9477110917667
2040,11151.605029477923,9309.535681545894,6254.904038811474,534.113811255349
2041,11216.308797143707,9461.080907147483,6335.667381049835,525.2799114189313
2042,11280.279112931294,9608.560062159646,6415.99762126639,516.9738046620159
2043,11343.612994174262,9753.061635881739,6495.9298841371965,508.9569537604326
2044,11406.19984090324,9894.385477640928,6575.499294338315,501.1824040659292
2045,11467.444935922502,10057.54081389518,6654.740976545805,493.6773968855413
2046,11528.690030941763,10166.699362579235,6733.690055435725,486.1723897051535
2047,11588.372174312572,10297.289104412674,6812.381655684136,478.8430157423769
2048,11646.864883291919,10423.900511591855,6890.850901967096,471.5681243936717
2049,11704.05755791044,10546.333433443939,6969.132918960665,464.30076101078566
2050,11759.078981048984,10662.098325959698,7047.262831340902,456.950780280124
2051,11814.10040418753,10777.863218475459,7125.275763783867,449.6007995494623
2052,11866.729375907362,10886.55978030922,7203.2068409656185,442.07429217452113
2053,11917.615913388898,10990.27725412453,7281.091187562217,434.36749417239025
2054,11966.649416662765,11088.81548924855,7358.963928249721,426.4334508948177
2055,11981.233212184885,11179.184564989962,7436.860187704191,418.06463040757876
2056,12058.714920710032,11269.553640731372,7514.815090601684,409.6958099203398
2057,12101.525721544695,11351.353255744496,7592.863761618262,400.7983029269301
2058,12142.04108829422,11427.173029374979,7671.041325429984,391.48573206507
2059,12180.150420989241,11496.81281094998,7749.382906712908,381.71114268650797
2060,12259.461360854786,11701.683111283668,7827.923630143094,380.81049167807845
