Year,coal,natural gas,hydro,oil products
2012,11751.70295723684,3715.8379585695966,3683.0,1145.901120879447
2013,11083.466149489639,4435.332479284798,3787.0,1090.174280541083
2014,10445.88583038235,5154.827,3904.0,1033.346
2015,9852.822235768448,5581.500865198803,3897.0,984.171231238842
2016,9259.758641154545,6008.174730397604,4049.0,934.9964624776841
2017,8709.743762567545,6427.66742383574,4037.0,887.1282497507517
2018,8187.449355687493,6790.4532016336,4353.811718172073,841.1173131594043
2019,7692.141416281149,7098.896905874821,4463.672644557958,796.9207003967325
2020,7235.845169618882,7330.557183948353,4573.206034237941,755.3596687632557
2021,6779.548922956616,7562.217462021886,4682.4582487863545,713.7986371297789
2022,6360.796360571946,7721.823998095002,4791.475649777532,674.7872820116787
2023,5966.094248728019,7836.547828946021,4900.304598785806,637.4184414946172
2024,5594.708583191596,7908.753796658579,5008.9914573855085,601.6491632716852
2025,5256.829578649942,7921.912653830715,5117.582587150972,568.1933238761289
2026,4918.950574108289,7935.0715110028505,5226.12434965653,534.7374844805727
2027,4613.110222094927,7893.9129418018365,5334.663106476515,503.5091792985738
2028,4327.650299456104,7819.695877796905,5443.245219185259,473.7086271830674
2029,4061.836801958578,7714.78516107169,5551.9170493570955,445.29287582714437
2030,3824.024933706516,7568.563649433319,5660.724958566356,418.86842099677773
2031,3586.2130654544544,7422.34213779495,5769.7153083873745,392.4439661664111
2032,3374.934817981376,7239.5395154107,5878.934460394483,367.9249032477826
2033,3180.3669787166336,7035.502608640707,5988.428776162013,344.6188318611005
2034,3001.775543426983,6812.596259568611,6098.244617264299,322.4827996994554
2035,2845.68070563349,6566.1154312106255,6208.428345275674,302.0159217615476
2036,2689.5858678399973,6319.6346028526405,6319.026321770467,281.54904382363975
2037,2554.5196190761817,6054.308979376041,6430.084908323015,262.6654154956509
2038,2432.493757354494,5779.573281931876,6541.650466507648,244.7800171650622
2039,2322.7742784416987,5497.792352603787,6653.7693578987,227.84989652496427
2040,2230.0463652757517,5210.1732596170805,6766.487944070503,215.47025326481779
2041,2137.3184521098046,4922.554166630374,6879.85258659739,196.68367908860478
2042,2060.1140962242316,4633.826594152317,6993.9096470536915,182.3616776785243
2043,1992.2801062145772,4347.513158124873,7108.7054870137445,168.82314473129804
2044,1933.0824778476126,4065.978700631689,7224.286468051878,156.02512794001666
2045,1885.3713834781893,3796.3423951071454,7340.698951742426,151.68590833947215
2046,1837.660289108766,3526.7060895826016,7457.989299659721,132.47883359765115
2047,1799.9677202704079,3273.697620193978,7576.2038733780955,121.64465143274879
2048,1767.9754961417657,3034.927497674149,7695.38903447188,111.37917619615405
2049,1740.9496124896086,2812.760564106751,7815.591144515414,101.63945558095816
2050,1719.9052310856878,2620.228098135265,7936.856565083023,90.7571719787597
2051,1698.860849681767,2427.695632163779,8059.231657749042,83.56546898712509
2052,1682.3299620596044,2269.527317955488,8182.762784087805,75.14529839466968
2053,1667.8293979809532,2137.4215610341544,8307.496305673643,67.07907319597575
2054,1654.6251532125807,2033.7432034834437,8433.478584080889,59.32384108413453
2055,1641.8973789431375,1977.4356291559034,8560.755980883874,54.203293702919346
2056,1629.1696046736943,1921.128054828363,8689.374857656934,44.57454689337237
2057,1615.4502924367007,1916.9209478912835,8819.381575974401,37.49458020063321
2058,1600.0912825770174,1950.6006086593534,8950.822497410605,30.553797367108928
2059,1582.3585708614046,2024.531879216198,9083.743983539882,23.709246085891436
2060,1493.2342231314185,2024.531879216198,9218.192395936561,14.598272868617316
