Year,coal,natural gas,hydro,oil products
2012,10416.857142857141,6457.999999999999,3683.0,1260.0000000000002
2013,10692.095238095237,6674.999999999999,3787.0,1240.0000000000002
2014,10953.142857142855,6891.999999999999,3904.0,1220.0000000000002
2015,11200.0,7096.999999999999,3897.0,1200.0000000000002
2016,11432.666666666664,7301.999999999999,4049.0,1180.0000000000002
2017,11651.142857142855,7497.999999999998,4037.0,1160.0000000000002
2018,11855.428571428569,7687.999999999998,4063.4285714285716,1140.0000000000002
2019,12045.523809523806,7871.999999999998,4117.523809523809,1120.0000000000002
2020,12214.333333333328,8046.999999999998,4171.333333333333,1100.0000000000002
2021,12383.142857142853,8221.999999999998,4225.142857142857,1080.0000000000002
2022,12530.666666666662,8387.999999999998,4278.666666666667,1060.0000000000002
2023,12663.999999999996,8547.999999999998,4332.0,1040.0000000000002
2024,12783.142857142853,8701.999999999998,4385.142857142857,1020.0000000000002
2025,12880.999999999996,8846.999999999998,4438.0,1000.0000000000002
2026,12978.857142857138,8991.999999999998,4490.857142857143,980.0000000000002
2027,13055.428571428567,9127.999999999998,4543.428571428572,960.0000000000002
2028,13117.80952380952,9257.999999999998,4595.809523809524,940.0000000000002
2029,13165.999999999996,9381.999999999998,4648.0,920.0000000000002
2030,13192.904761904758,9496.999999999998,4699.9047619047615,900.0000000000002
2031,13219.80952380952,9611.999999999998,4751.809523809524,880.0000000000002
2032,13225.428571428567,9717.999999999998,4803.428571428572,860.0000000000002
2033,13216.85714285714,9817.999999999998,4854.857142857143,840.0000000000002
2034,13194.095238095235,9911.999999999998,4906.0952380952385,820.0000000000002
2035,13150.047619047615,9999.999999999998,4957.047619047619,800.0000000000002
2036,13105.999999999996,10081.999999999998,5008.0,780.0000000000002
2037,13040.666666666664,10157.999999999998,5058.666666666666,760.0000000000002
2038,12961.142857142853,10227.999999999998,5109.142857142857,740.0000000000002
2039,12867.428571428569,10291.999999999998,5159.428571428572,720.0000000000002
2040,12759.523809523806,10350.0,5209.428571428572,700.0000000000002
2041,12637.428571428569,10402.0,5259.428571428572,680.0000000000001
2042,12501.142857142855,10448.0,5309.142857142857,660.0000000000001
2043,12350.666666666664,10487.999999999998,5358.666666666667,640.0000000000001
2044,12185.999999999998,10522.0,5408.0,620.0000000000001
2045,12007.142857142855,10550.0,5457.047619047619,600.0000000000001
2046,11814.095238095237,10572.0,5506.0952380952385,580.0000000000001
2047,11606.857142857141,10588.0,5554.857142857143,560.0000000000001
2048,11385.42857142857,10598.0,5603.428571428572,540.0000000000001
2049,11149.809523809523,10602.0,5651.809523809524,520.0
2050,10900.0,10600.0,5700.0,500.0
2051,10636.0,10592.0,5748.0,480.0
2052,10357.809523809525,10578.0,5795.809523809525,460.0
2053,10065.428571428572,10558.0,5843.428571428572,440.0
2054,9758.857142857145,10532.000000000002,5890.857142857143,420.0
2055,9438.09523809524,10500.000000000002,5938.0952380952385,400.0
2056,9103.14285714286,10462.000000000002,5985.142857142857,379.9999999999999
2057,8754.000000000004,10418.000000000004,6032.0,359.9999999999999
2058,8390.666666666672,10368.000000000004,6078.666666666668,339.9999999999999
2059,8013.1428571428605,10312.000000000002,6125.142857142859,319.9999999999999
2060,7621.428571428578,10250.000000000002,6171.4285714285725,299.9999999999999
