Year,Baseline Cases,Conservative Cases,Ambitious Cases,100% RES2050 Cases
2012,3683.000000,3683.000000,3683.000000,3683.000000
2013,3787.000000,3787.000000,3787.000000,3787.000000
2014,3904.000000,3904.000000,3904.000000,3904.000000
2015,3897.000000,3897.000000,3897.000000,3897.000000
2016,4049.000000,4049.000000,4049.000000,4049.000000
2017,4037.000000,4037.000000,4037.000000,4037.000000
2018,4087.069600,4219.029474,4177.475988,4200.440717
2019,4171.824643,4307.155028,4258.151963,4297.489770
2020,4255.229502,4395.137399,4339.003670,4389.987964
2021,4337.898194,4482.976586,4420.032582,4478.133374
2022,4419.278710,4570.672589,4501.240169,4562.124072
2023,4499.596393,4658.225409,4582.627903,4642.158132
2024,4578.882245,4745.635046,4664.197254,4718.433628
2025,4656.972934,4832.901499,4745.949695,4791.148634
2026,4734.482475,4920.024769,4827.886696,4860.501224
2027,4810.858859,5007.004855,4910.009728,4926.689470
2028,4886.327430,5093.841757,4992.320263,4989.911447
2029,4960.919189,5180.535477,5074.819772,5050.365228
2030,5034.470804,5267.086012,5157.509727,5108.248886
2031,5107.596291,5353.493365,5240.391597,5163.760497
2032,5179.743641,5439.757533,5323.466856,5217.098132
2033,5251.138195,5525.878519,5406.736973,5268.459866
2034,5321.810959,5611.856320,5490.203421,5318.043772
2035,5391.598597,5697.690939,5573.867669,5366.047925
2036,5461.115126,5783.382374,5657.731191,5412.670397
2037,5529.808538,5868.930625,5741.795456,5458.109262
2038,5597.904174,5954.335693,5826.061936,5502.562595
2039,5665.433038,6039.597577,5910.532103,5546.228468
2040,5732.231797,6124.716278,5995.207427,5589.304955
2041,5798.914466,6209.691796,6080.089380,5631.990130
2042,5864.929036,6294.524130,6165.179433,5674.482067
2043,5930.500851,6379.213280,6250.479057,5716.978839
2044,5995.660912,6463.759247,6335.989723,5759.678519
2045,6060.245888,6548.162031,6421.712903,5802.779182
2046,6124.869793,6632.421631,6507.650069,5846.478901
2047,6188.980619,6716.538047,6593.802690,5890.975750
2048,6252.803709,6800.511280,6680.172239,5936.467802
2049,6316.370065,6884.341330,6766.760186,5983.153131
2050,6380.514105,6968.028196,6853.568003,6031.229811
2051,6442.856592,7051.571879,6940.597161,6080.895915
2052,6505.838772,7134.972378,7027.849132,6132.349517
2053,6568.688233,7218.229694,7115.325386,6185.788691
2054,6631.435980,7301.343826,7203.027395,6241.411509
2055,6694.113018,7384.314775,7290.956629,6299.416047
2056,6756.750349,7467.142540,7379.114561,6360.000377
2057,6819.378977,7549.827122,7467.502662,6423.362573
2058,6882.029907,7632.368520,7556.122402,6489.700709
2059,6944.734143,7714.766735,7644.975253,6559.212858
2060,7007.522688,7797.021766,7734.062687,6632.097095
