Year,coal,natural gas,hydro,oil products
2012,11177.162613970904,5105.580395640102,3683.0,1229.6188072977054
2013,10477.852411627291,5130.224317128051,3787.0,1149.9606051079743
2014,9707.566659912,5154.868238615999,3904.0,1023.01318404
2015,9110.065717888283,5175.572159425325,3897.0,974.7475670233434
2016,8512.564775864568,5196.276080234651,4049.0,926.4819500066867
2017,7901.683221033033,5133.349664347068,4037.0,857.1543821288926
2018,7312.908828079519,5040.765705666684,4390.299373248429,790.4094728290829
2019,6746.241597004023,4920.815500204343,4500.964422781278,726.2472221072576
2020,6212.735108745557,4764.398516590754,4610.313590648852,665.9589592524085
2021,5679.228620487092,4607.981532977166,4718.363508980933,605.6706963975595
2022,5178.882875045656,4419.680363234018,4825.130809907301,549.2564214096869
2023,4700.644291482239,4213.178130752288,4930.632125557735,495.42480499979865
2024,4244.512869796843,3990.7661315428204,5034.8840880620155,444.17584716789463
2025,3821.5421909284755,3749.072074263434,5137.903329549924,396.800877202967
2026,3398.571512060108,3507.3780169840475,5239.706482151239,349.4259072380394
2027,3008.761576008772,3250.9844936564295,5340.3101779957415,305.92492514008825
2028,2641.058801835454,2987.846387644449,5439.731049213211,265.0066016201213
2029,2295.4631895401562,2720.25499495895,5537.985727933428,226.67093667813856
2030,1983.0283200618874,2450.566264284861,5635.0908462861735,192.2092596031324
2031,1670.5934505836185,2180.877533610772,5731.063036401228,157.74758252812626
2032,1391.3193239223801,1913.6740569697795,5825.918930408369,127.15989332009656
2033,1134.1523591391615,1651.1824776986437,5919.6751604373785,99.15486269005112
2034,899.0925562339617,1395.6940918082091,6012.348358618037,73.73249063798994
2035,697.1934961457928,1155.2930880105118,6103.955157080125,52.1841064529051
2036,495.2944360576239,914.8920842128146,6194.512187953421,30.635722267820256
2037,326.55611878648415,694.1610545295453,6284.036083367706,12.961325949711863
2038,179.9249633933614,489.59840227034874,6372.54347545276,0.0
2039,55.400969878261094,303.495423446072,6460.050996338364,0.0
2040,27.700484939130547,151.747711723036,6546.575278154297,0.0
2041,0.0,0.0,6632.13295303034,0.0
2042,0.0,0.0,6716.740653096273,0.0
2043,0.0,0.0,6800.4150104818755,0.0
2044,0.0,0.0,6883.172657316929,0.0
2045,0.0,0.0,6965.030225731212,0.0
2046,0.0,0.0,7046.004347854507,0.0
2047,0.0,0.0,7126.11165581659,0.0
2048,0.0,0.0,7205.368781747247,0.0
2049,0.0,0.0,7283.792357776254,0.0
2050,0.0,0.0,7361.399016033392,0.0
2051,0.0,0.0,7438.205388648441,0.0
2052,0.0,0.0,7514.228107751182,0.0
2053,0.0,0.0,7589.4838054713955,0.0
2054,0.0,0.0,7663.98911393886,0.0
2055,0.0,0.0,7737.7606652833565,0.0
2056,0.0,0.0,7810.815091634666,0.0
2057,0.0,0.0,7883.169025122566,0.0
2058,0.0,0.0,7954.839097876842,0.0
2059,0.0,0.0,8025.8419420272685,0.0
2060,0.0,0.0,8096.194189703629,0.0
