Year,coal,natural gas,hydro,oil products
2012,11203.316651501365,6579.142857142857,3683.0,1260.0000000000002
2013,11200.116014558691,6755.0,3787.0,1240.0000000000002
2014,11199.126478616925,6930.857142857142,3904.0,1220.0000000000002
2015,11200.0,7097.761904761905,3897.0,1200.0000000000002
2016,11202.388535031847,7264.666666666666,4049.0,1180.0000000000002
2017,11205.944040036396,7424.857142857142,4037.0,1160.0000000000002
2018,11210.31847133758,7580.5714285714275,4101.714285714285,1140.0000000000002
2019,11215.163785259327,7731.809523809523,4168.761904761905,1120.0000000000002
2020,11220.019335759782,7876.333333333332,4235.714285714285,1100.0000000000002
2021,11224.874886260237,8020.857142857141,4302.571428571428,1080.0000000000002
2022,11229.044585987262,8158.666666666666,4369.333333333333,1060.0000000000002
2023,11232.292993630574,8291.999999999998,4436.0,1040.0000000000002
2024,11234.272065514104,8420.857142857141,4502.571428571428,1020.0000000000002
2025,11234.633757961783,8542.999999999998,4569.047619047618,1000.0000000000002
2026,11233.030027297544,8665.142857142855,4635.428571428572,980.0000000000002
2027,11229.112829845313,8780.571428571428,4701.714285714285,960.0000000000002
2028,11222.534121929026,8891.52380952381,4767.9047619047615,940.0000000000002
2029,11212.94585987261,8998.0,4834.0,920.0000000000002
2030,11198.147179253867,9097.761904761905,4900.0,900.0000000000002
2031,11183.348498635123,9197.52380952381,4965.9047619047615,880.0000000000002
2032,11162.64331210191,9290.571428571428,5031.714285714285,860.0000000000002
2033,11137.536396724294,9379.142857142855,5097.428571428571,840.0000000000002
2034,11107.679708826205,9463.238095238095,5163.047619047619,820.0000000000002
2035,11070.002274795268,9540.619047619048,5228.571428571428,800.0000000000002
2036,11032.324840764331,9618.0,5294.0,780.0000000000002
2037,10986.130573248407,9688.666666666666,5359.333333333333,760.0000000000002
2038,10933.794358507734,9754.857142857141,5424.571428571428,740.0000000000002
2039,10874.968152866242,9816.571428571428,5489.714285714285,720.0000000000002
2040,10805.710873521384,9871.571428571428,5554.761904761905,700.0000000000002
2041,10736.453594176524,9926.571428571428,5619.714285714286,680.0000000000001
2042,10656.06915377616,9974.857142857141,5684.571428571428,660.0000000000001
2043,10567.802547770701,10018.666666666666,5749.333333333334,640.0000000000001
2044,10471.305732484076,10058.0,5814.0,620.0000000000001
2045,10361.767515923566,10092.857142857143,5878.571428571429,600.0000000000001
2046,10252.229299363058,10123.238095238095,5943.047619047619,580.0000000000001
2047,10128.953594176524,10149.142857142857,6007.428571428572,560.0000000000001
2048,9996.05550500455,10170.57142857143,6071.714285714286,540.0000000000001
2049,9853.186988171065,10187.52380952381,6135.904761904762,520.0
2050,9694.666742493177,10197.761904761905,6200.0,500.0
2051,9536.146496815287,10208.0,6264.0,480.0
2052,9361.278434940856,10211.523809523811,6327.904761904762,460.0
2053,9175.047770700638,10210.57142857143,6391.714285714286,440.0
2054,8977.106460418563,10205.142857142859,6455.4285714285725,420.0
2055,8767.106460418563,10193.000000000002,6519.04761904762,399.99999999999994
2056,8544.69972702457,10180.857142857145,6582.571428571429,379.9999999999999
2057,8309.538216560512,10162.000000000002,6646.000000000001,359.9999999999999
2058,8061.273885350321,10138.666666666668,6709.333333333334,339.9999999999999
2059,7799.558689717927,10110.857142857145,6772.571428571429,319.9999999999999
2060,7524.044585987264,10078.571428571431,6835.714285714286,299.9999999999999
