,"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
0,"2009_Varun et al._[Varun, Bhat IK, Prakash R. (2009).Life cycle assessment of renewable energy for electricity generation systems - a review. Renewable and Sustainable Energy Reviews 13 (2009) 1067-1073]",https://www.sciencedirect.com/science/article/pii/S1364032108001093,World,,1  - Peer Reviewed,2009,,742.1,gCO2/kWh,,g CO2-eq/ kWh,,,
1,"2005_Hondo [Hondo, H. (2005). Life Cycle GHG emission analysis of power generation systems: japanese Case. Energy 30 (2005) 2042-2056]",https://www.sciencedirect.com/science/article/abs/pii/S0360544204003652,OECD90,Japan,1  - Peer Reviewed,2005,,742.1,gCO2/kWh,,g CO2-eq/ kWh,,,1.0
2,"Dones et al (2003), low",,World,,1  - Peer Reviewed,2003,,0.519,kgCO2/kWh,519.0,g CO2-eq/ kWh,,,
3,"Dones et al (2003), high",,World,,1  - Peer Reviewed,2003,,1.19,kgCO2/kWh,1190.0,g CO2-eq/ kWh,,,
4,"Raadal et al. (2011). - Raadal, Hanne Lerche, Luc Gagnon, Ingunn Saur Modahl, and Ole Jørgen Hanssen. 2011. Life cycle greenhouse gas (GHG) emissions from the generation of wind and hydro power. Renew. and Sustainable Energy Reviews, 15(7), 3417-3422.",https://www.sciencedirect.com/science/article/pii/S1364032111001924,World,,1  - Peer Reviewed,2011,,790.0,gCO2/kWh,,g CO2-eq/ kWh,,Oil fired power plant (Low),
5,"Raadal et al. (2011). - Raadal, Hanne Lerche, Luc Gagnon, Ingunn Saur Modahl, and Ole Jørgen Hanssen. 2011. Life cycle greenhouse gas (GHG) emissions from the generation of wind and hydro power. Renew. and Sustainable Energy Reviews, 15(7), 3417-3422.",https://www.sciencedirect.com/science/article/pii/S1364032111001924,World,,1  - Peer Reviewed,2011,,900.0,gCO2/kWh,,g CO2-eq/ kWh,,Oil fired power plant (High),
