Year,coal,natural gas,hydro,oil products
2012,11483.282608695654,4647.195652173914,3683.0,1190.8478260869565
2013,11160.708695652174,4916.953260869566,3787.0,1138.1260869565217
2014,10836.89347826087,5186.710869565219,3904.0,1086.6804347826087
2015,10511.216304347827,5418.8728260869575,3897.0,1037.1489130434784
2016,10185.539130434783,5651.034782608697,4049.0,987.6173913043478
2017,9858.0,5855.0,4037.0,940.0
2018,9529.21956521739,6040.167391304349,4216.094927536232,893.6586956521738
2019,9199.197826086955,6206.536956521741,4324.841304347826,848.5934782608695
2020,8867.314130434781,6344.709782608697,4435.239130434783,805.4423913043478
2021,8535.430434782607,6482.882608695653,4547.288405797101,762.2913043478261
2022,8201.684782608694,6592.858695652175,4660.989130434783,721.0543478260869
2023,7866.697826086955,6684.036956521741,4776.341304347826,681.0934782608695
2024,7530.46956521739,6756.417391304349,4893.344927536232,642.4086956521738
2025,7192.379347826085,6800.6010869565225,5012.0,605.6380434782608
2026,6854.289130434781,6844.784782608696,5132.30652173913,568.8673913043477
2027,6514.336956521737,6860.771739130436,5254.264492753624,534.0108695652173
2028,6173.143478260868,6857.960869565219,5377.873913043479,500.4304347826087
2029,5830.7086956521725,6836.352173913045,5503.134782608696,468.1260869565217
2030,5486.411956521737,6786.5467391304355,5630.047101449276,437.73586956521734
2031,5142.115217391302,6736.741304347826,5758.610869565217,407.345652173913
2032,4795.95652173913,6658.739130434784,5888.826086956522,378.86956521739125
2033,4448.5565217391295,6561.939130434784,6020.692753623189,351.6695652173913
2034,4099.9152173913035,6446.341304347827,6154.210869565217,325.7456521739131
2035,3749.411956521739,6302.5467391304355,6289.380434782608,301.73586956521746
2036,3398.908695652174,6158.752173913044,6426.201449275362,277.72608695652184
2037,3046.54347826087,5986.760869565218,6564.673913043478,255.63043478260875
2038,2692.9369565217403,5795.971739130436,6704.797826086957,234.81086956521744
2039,2338.0891304347842,5586.384782608697,6846.573188405797,215.26739130434805
2040,1981.3793478260895,5348.601086956523,6989.999999999999,197.0
2041,1624.6695652173948,5110.817391304349,7135.0782608695645,180.00869565217408
2042,1266.0978260869597,4844.83695652174,7281.807971014492,164.29347826086996
2043,906.2847826087,4560.058695652175,7430.189130434781,149.85434782608718
2044,545.2304347826139,4256.482608695653,7580.221739130433,136.69130434782642
2045,272.61521739130694,3924.7097826086965,7731.905797101448,124.80434782608722
2046,0.0,3592.9369565217403,7885.241304347825,114.19347826086994
2047,0.0,3232.96739130435,8040.228260869563,104.85869565217445
2048,0.0,2854.2000000000007,8196.866666666665,96.80000000000041
2049,0.0,2456.6347826086967,8355.156521739129,90.0173913043484
2050,0.0,2030.8728260869575,8515.097826086952,84.51086956521783
2051,0.0,1605.1108695652183,8676.690579710143,80.28043478260929
2052,0.0,1151.1521739130458,8839.934782608692,77.32608695652243
2053,0.0,678.3956521739146,9004.830434782605,75.64782608695714
2054,0.0,186.84130434782674,9171.377536231881,75.24565217391375
2055,0.0,93.42065217391337,9339.576086956518,74.0
2056,0.0,0.0,9509.426086956519,70.0
2057,0.0,0.0,9680.92753623188,65.0
2058,0.0,0.0,9854.080434782605,60.0
2059,0.0,0.0,10028.884782608691,55.0
2060,0.0,0.0,10205.34057971014,50.0
