,Total Area (Mha),"DEZ1: Epipelagic, EEZ","DEZ2: Epipelagic, ABNJ","DEZ3: Mesopelagic, EEZ","DEZ4: Mesopelagic, ABNJ","DEZ5: Bathypelagic, EEZ","DEZ6: Bathypelagic, ABNJ"
OECD90,462.14187102999995,462.14187102999995,0.0,462.14187102999995,0.0,427.54809437000006,0.0
Eastern Europe,54.94967837,54.94967837,0.0,54.94967837,0.0,51.72951969,0.0
Asia (Sans Japan),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Middle East and Africa,3.83910302,3.83910302,0.0,3.83910302,0.0,3.83057636,0.0
Latin America,64.20891761,64.20891761,0.0,64.20891761,0.0,64.20891761,0.0
ABNJ,3318.16378716,0.0,3318.16378716,0.0,3318.16378716,0.0,0.0
TOTAL,3903.30335719,585.13957003,3318.16378716,585.13957003,3318.16378716,547.3171080300001,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,103.38492025,103.38492025,0.0,103.38492025,0.0,97.45584192000001,0.0
USA,130.85527763,130.85527763,0.0,130.85527763,0.0,128.76039587,0.0
