,Total Area (Mha),"DEZ1: Epipelagic, EEZ","DEZ2: Epipelagic, ABNJ","DEZ3: Mesopelagic, EEZ","DEZ4: Mesopelagic, ABNJ","DEZ5: Bathypelagic, EEZ","DEZ6: Bathypelagic, ABNJ"
OECD90,258.4132183,258.4132183,0.0,258.4132183,0.0,257.9614594,0.0
Eastern Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia (Sans Japan),597.5152442000001,597.5152442000001,0.0,597.5152442000001,0.0,595.4196339000001,0.0
Middle East and Africa,227.95441679999996,227.95441679999996,0.0,227.95441679999996,0.0,227.86798759999996,0.0
Latin America,232.17785919999997,232.17785919999997,0.0,232.17785919999997,0.0,231.89458009999998,0.0
ABNJ,3164.8765443,0.0,3164.8765443,0.0,3164.8765443,0.0,0.0
TOTAL,4480.9372828000005,1316.0607385,3164.8765443,1316.0607385,3164.8765443,1313.143661,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,26.8912108,26.8912108,0.0,26.8912108,0.0,26.854263,0.0
EU,120.2215091,120.2215091,0.0,120.2215091,0.0,120.1848418,0.0
USA,95.895507,95.895507,0.0,95.895507,0.0,95.8338959,0.0
