,Total Area (Mha),"DEZ1: Epipelagic, EEZ","DEZ2: Epipelagic, ABNJ","DEZ3: Mesopelagic, EEZ","DEZ4: Mesopelagic, ABNJ","DEZ5: Bathypelagic, EEZ","DEZ6: Bathypelagic, ABNJ"
OECD90,937.658710748,937.658710748,0.0,554.207356278,0.0,321.781496526,0.0
Eastern Europe,606.82995717,606.82995717,0.0,222.65011701,0.0,99.58172457,0.0
Asia (Sans Japan),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Middle East and Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABNJ,2514.9464281,0.0,2514.9464281,0.0,2474.62081383,0.0,0.0
TOTAL,4059.435096018,1544.488667918,2514.9464281,776.857473288,2474.62081383,421.363221096,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,241.99437469699998,241.99437469699998,0.0,210.581579927,0.0,140.183470746,0.0
USA,122.84088057,122.84088057,0.0,24.27714081,0.0,20.27411466,0.0
