"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Fernández-Núñez et al. 2010; measurement for high density P radiata dehesa system in Spain (includes BGB for trees and pasture); Fernández-Núñez, E., Rigueiro-Rodríguez, A., & Mosquera-Losada, M. R. (2010). Carbon allocation dynamics one decade after afforestation with Pinus radiata D. Don and Betula alba L. under two stand densities in NW Spain. Ecological engineering, 36(7), 876-890.",http://www.sciencedirect.com/science/article/pii/S0925857410000674,OECD90,NW Spain,Temperate/Boreal-Semi-Arid,1  - Peer Reviewed,2010,,2.65,t C/ha/yr,,t C/ha/yr,,Dehesa system in NW Spain. High density (2500 trees per ha) Pinus radiata silvopasture. 10 year carbon balance including soil and GHG emissions. Data taken from Figure 4. ,
"Fernández-Núñez et al. 2010; measurement for low density P radiata dehesa system in Spain (includes BGB for trees and pasture); Fernández-Núñez, E., Rigueiro-Rodríguez, A., & Mosquera-Losada, M. R. (2010). Carbon allocation dynamics one decade after afforestation with Pinus radiata D. Don and Betula alba L. under two stand densities in NW Spain. Ecological engineering, 36(7), 876-890.",http://www.sciencedirect.com/science/article/pii/S0925857410000674,OECD90,NW Spain,Temperate/Boreal-Semi-Arid,1  - Peer Reviewed,2010,,1.24,t C/ha/yr,,t C/ha/yr,,Dehesa system in NW Spain. Low density (833 trees per ha) Pinus radiata silvopasture. 10 year carbon balance including soil and GHG emissions. Data taken from Figure 4. ,
"Fernández-Núñez et al. 2010; measurement for high density B alba dehesa system in Spain (includes BGB for trees and pasture); Fernández-Núñez, E., Rigueiro-Rodríguez, A., & Mosquera-Losada, M. R. (2010). Carbon allocation dynamics one decade after afforestation with Pinus radiata D. Don and Betula alba L. under two stand densities in NW Spain. Ecological engineering, 36(7), 876-890.",http://www.sciencedirect.com/science/article/pii/S0925857410000674,OECD90,NW Spain,Temperate/Boreal-Semi-Arid,1  - Peer Reviewed,2010,,1.27,t C/ha/yr,,t C/ha/yr,,Dehesa system in NW Spain. High density (2500 trees per ha) Betula alba silvopasture. 10 year carbon balance including soil and GHG emissions. Data taken from Figure 5. ,
"Fernández-Núñez et al. 2010; measurement for low density B alba dehesa system in Spain (includes BGB for trees and pasture); Fernández-Núñez, E., Rigueiro-Rodríguez, A., & Mosquera-Losada, M. R. (2010). Carbon allocation dynamics one decade after afforestation with Pinus radiata D. Don and Betula alba L. under two stand densities in NW Spain. Ecological engineering, 36(7), 876-890.",http://www.sciencedirect.com/science/article/pii/S0925857410000674,OECD90,NW Spain,Temperate/Boreal-Semi-Arid,1  - Peer Reviewed,2010,,0.73,t C/ha/yr,,t C/ha/yr,,Dehesa system in NW Spain. Low density (833 trees per ha) Betula alba silvopasture. 10 year carbon balance including soil and GHG emissions. Data taken from Figure 5. ,
