"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Devendra and Ibrahim (quoting Souza et al 1999); percentage increase of SP dairy cow productivity compared to those in pastures with no shade; Devendra, C., & Ibrahim, M. (2004). Silvopastoral systems as a strategy for diversification and productivity enhancement from livestock in the tropics. In The Importance of Silvopastoril Systems in Rural Livelihoods to Provide Ecosystem Services. Proc. of the Second International Symposium of Silvopastoril Systems. Eds. L. Mannetje, M. Ramírez, C. Ibrahim, N. Sandoval, N. Ojeda & J. Ku. Mérida, Yucatán, México (pp. 10-24).",http://www.unanleon.edu.ni/facultades/veterinaria/Files/Simposio/silvopastoralsytems.pdf,Latin America,Costa Rica (increased milk production),Tropical-Humid,1  - Peer Reviewed,1999,,0.15,%,,%,,Refer page 10 (couldn't find/access the original source),
"Pagiola et al 2007  (wet season); Pagiola, S., Ramírez, E., Gobbi, J., de Haan, C., Ibrahim, M., Murgueitio, E., & Ruíz, J. P. (2007). Paying for the environmental services of silvopastoral practices in Nicaragua. Ecological Economics, 64(2), 374-385.",https://www.researchgate.net/publication/23748812_Paying_for_Biodiversity_Conservation_Services_in_Agricultural_Landscapes,Latin America,Nicaragua,Tropical-Humid,1  - Peer Reviewed,2007,,0.0882,%,,%,,couldn't find the number,1.0
"Pagiola et al 2007  (dry season); Pagiola, S., Ramírez, E., Gobbi, J., de Haan, C., Ibrahim, M., Murgueitio, E., & Ruíz, J. P. (2007). Paying for the environmental services of silvopastoral practices in Nicaragua. Ecological Economics, 64(2), 374-385.",https://www.researchgate.net/publication/23748812_Paying_for_Biodiversity_Conservation_Services_in_Agricultural_Landscapes,Latin America,Nicaragua,Tropical-Humid,1  - Peer Reviewed,2007,,0.0625,%,,%,,couldn't find the number,1.0
"Campos Paciullo et al 2011; silvopasture versus regular pasture, wet season (2004/2005); Paciullo, D. S. C., de Castro, C. R. T., de Miranda Gomide, C. A., Maurício, R. M., Pires, M. D. F. Á., Müller, M. D., & Xavier, D. F. (2011). Performance of dairy heifers in a silvopastoral system. Livestock Science, 141(2-3), 166-172.",http://www.sciencedirect.com/science/article/pii/S1871141311001971,Latin America,Brasil,Tropical-Humid,1  - Peer Reviewed,2011,,0.1640625,%,,%,,"Calculated based on reported values for silvopasture and regular pastures during  the wet season in 2004/2005, see Table 4; (values given in kg/ha weight gain)",
"Campos Paciullo et al 2011; silvopasture versus regular pasture, dry season (2004/2005); Paciullo, D. S. C., de Castro, C. R. T., de Miranda Gomide, C. A., Maurício, R. M., Pires, M. D. F. Á., Müller, M. D., & Xavier, D. F. (2011). Performance of dairy heifers in a silvopastoral system. Livestock Science, 141(2-3), 166-172.",http://www.sciencedirect.com/science/article/pii/S1871141311001971,Latin America,Brasil,Tropical-Humid,1  - Peer Reviewed,2011,,-0.09278350515463918,%,,%,,"Calculated based on reported values for silvopasture and regular pastures during the dry season in 2004/2005, see Table 4; (values given in kg/ha weight gain)",
"Campos Paciullo et al 2011; silvopasture versus regular pasture, wet season (2005/2006); Paciullo, D. S. C., de Castro, C. R. T., de Miranda Gomide, C. A., Maurício, R. M., Pires, M. D. F. Á., Müller, M. D., & Xavier, D. F. (2011). Performance of dairy heifers in a silvopastoral system. Livestock Science, 141(2-3), 166-172.",http://www.sciencedirect.com/science/article/pii/S1871141311001971,Latin America,Brasil,Tropical-Humid,1  - Peer Reviewed,2011,,0.05217391304347826,%,,%,,"Calculated based on reported values for silvopasture and regular pastures during  the wet season in 2005/2006, see Table 4; (values given in kg/ha weight gain)",
"Campos Paciullo et al 2011; silvopasture versus regular pasture, dry season (2005/2006); Paciullo, D. S. C., de Castro, C. R. T., de Miranda Gomide, C. A., Maurício, R. M., Pires, M. D. F. Á., Müller, M. D., & Xavier, D. F. (2011). Performance of dairy heifers in a silvopastoral system. Livestock Science, 141(2-3), 166-172.",http://www.sciencedirect.com/science/article/pii/S1871141311001971,Latin America,Brasil,Tropical-Humid,1  - Peer Reviewed,2011,,0.10294117647058823,%,,%,,"Calculated based on reported values for silvopasture and regular pastures during the dry season in 2005/2006, see Table 4; (values given in kg/ha weight gain)",
"Campos Paciullo et al 2011; silvopasture versus regular pasture, wet season (2006/2007); Paciullo, D. S. C., de Castro, C. R. T., de Miranda Gomide, C. A., Maurício, R. M., Pires, M. D. F. Á., Müller, M. D., & Xavier, D. F. (2011). Performance of dairy heifers in a silvopastoral system. Livestock Science, 141(2-3), 166-172.",http://www.sciencedirect.com/science/article/pii/S1871141311001971,Latin America,Brasil,Tropical-Humid,1  - Peer Reviewed,2011,,0.22274881516587677,%,,%,,"Calculated based on reported values for silvopasture and regular pastures during  the wet season in 2006/2007, see Table 4; (values given in kg/ha weight gain)",
"Campos Paciullo et al 2011; silvopasture versus regular pasture, dry season (2006/2007); Paciullo, D. S. C., de Castro, C. R. T., de Miranda Gomide, C. A., Maurício, R. M., Pires, M. D. F. Á., Müller, M. D., & Xavier, D. F. (2011). Performance of dairy heifers in a silvopastoral system. Livestock Science, 141(2-3), 166-172.",http://www.sciencedirect.com/science/article/pii/S1871141311001971,Latin America,Brasil,Tropical-Humid,1  - Peer Reviewed,2011,,0.1797752808988764,%,,%,,"Calculated based on reported values for silvopasture and regular pastures during the dry season in 2005/2006, see Table 4; (values given in kg/ha weight gain)",
Ibrahim et al. 2005,,Latin America,Dry tropical forest ecosystem,Tropical-Semi-Arid,1  - Peer Reviewed,2005,,0.10576923076923073,%,,%,,"(g/heifer/day, dry season, dry tropical forest); excluded because couldn't find source",1.0
Ibrahim et al. 2005,,Latin America,Dry tropical forest ecosystem,Tropical-Semi-Arid,1  - Peer Reviewed,2005,,0.1492921492921493,%,,%,,"(g/heifer/day, wet season, dry tropical forest); excluded because couldn't find source",1.0
Ibrahim et al. 2005,,Latin America,Humid tropical forest ecosystem,Tropical-Humid,1  - Peer Reviewed,2005,,0.14414414414414423,%,,%,,"(L milk/cow/day, dry season, humid tropical forest); excluded because couldn't find source",1.0
Ibrahim et al. 2005,,Latin America,Humid tropical forest ecosystem,Tropical-Humid,1  - Peer Reviewed,2005,,-0.021739130434782483,%,,%,,"(L milk/cow/day, wet season, humid tropical forest); excluded because couldn't find source",1.0
