Year,Project Drawdown Updated AEZ Model - Jan 2020
2012,370.85347425
2013,370.85347425
2014,370.85347425
2015,370.85347425
2016,370.85347425
2017,370.85347425
2018,370.85347425
2019,370.85347425
2020,370.85347425
2021,370.85347425
2022,370.85347425
2023,370.85347425
2024,370.85347425
2025,370.85347425
2026,370.85347425
2027,370.85347425
2028,370.85347425
2029,370.85347425
2030,370.85347425
2031,370.85347425
2032,370.85347425
2033,370.85347425
2034,370.85347425
2035,370.85347425
2036,370.85347425
2037,370.85347425
2038,370.85347425
2039,370.85347425
2040,370.85347425
2041,370.85347425
2042,370.85347425
2043,370.85347425
2044,370.85347425
2045,370.85347425
2046,370.85347425
2047,370.85347425
2048,370.85347425
2049,370.85347425
2050,370.85347425
2051,370.85347425
2052,370.85347425
2053,370.85347425
2054,370.85347425
2055,370.85347425
2056,370.85347425
2057,370.85347425
2058,370.85347425
2059,370.85347425
2060,370.85347425
